g_ptsx,g_ptsy
2.92E-04,0.06090188
2.93E-04,0.06051938
2.93E-04,0.06009635
2.94E-04,0.05971375
2.95E-04,0.05929083
2.95E-04,0.05890812
2.96E-04,0.05848531
2.97E-04,0.05810249
2.98E-04,0.0576798
2.98E-04,0.05729684
2.99E-04,0.05687431
3.00E-04,0.05649115
3.00E-04,0.05606889
3.01E-04,0.05568533
3.02E-04,0.05526376
3.02E-04,0.0548785
3.03E-04,0.05446989
3.04E-04,0.05416396
3.04E-04,0.05382419
3.05E-04,0.0535236
3.06E-04,0.05318344
3.07E-04,0.05288284
3.07E-04,0.05254277
3.08E-04,0.05224207
3.09E-04,0.0519021
3.09E-04,0.0516013
3.10E-04,0.05126143
3.11E-04,0.05096053
3.11E-04,0.05062076
3.12E-04,0.05031976
3.13E-04,0.04998009
3.13E-04,0.04967899
3.14E-04,0.04933942
3.15E-04,0.04903822
3.15E-04,0.04869876
3.16E-04,0.04839745
3.17E-04,0.04805809
3.18E-04,0.04775667
3.18E-04,0.04741743
3.19E-04,0.04711589
3.20E-04,0.04677677
3.20E-04,0.04647511
3.21E-04,0.04613612
3.22E-04,0.0458343
3.22E-04,0.0454955
3.23E-04,0.04519347
3.24E-04,0.04485492
3.24E-04,0.04455258
3.25E-04,0.04421437
3.26E-04,0.04391311
3.27E-04,0.04362349
3.27E-04,0.04339242
3.28E-04,0.04311963
3.29E-04,0.04288653
3.29E-04,0.04261461
3.30E-04,0.04238101
3.31E-04,0.04210943
3.31E-04,0.04187557
3.32E-04,0.0416042
3.33E-04,0.04137017
3.33E-04,0.04109895
3.34E-04,0.04086478
3.35E-04,0.04059369
3.36E-04,0.04035939
3.36E-04,0.04008842
3.37E-04,0.03985402
3.38E-04,0.03958315
3.38E-04,0.03934864
3.39E-04,0.03907787
3.40E-04,0.03884327
3.40E-04,0.0385726
3.41E-04,0.0383379
3.42E-04,0.03806732
3.42E-04,0.03783253
3.43E-04,0.03756204
3.44E-04,0.03732716
3.44E-04,0.03705677
3.45E-04,0.03682178
3.46E-04,0.0365515
3.47E-04,0.0363164
3.47E-04,0.03604625
3.48E-04,0.03581096
3.49E-04,0.03554114
3.49E-04,0.03530503
3.50E-04,0.03504136
3.51E-04,0.03485491
3.51E-04,0.03464047
3.52E-04,0.0344596
3.53E-04,0.03424457
3.53E-04,0.03406384
3.54E-04,0.03384879
3.55E-04,0.03366803
3.56E-04,0.03345303
3.56E-04,0.03327221
3.57E-04,0.03305727
3.58E-04,0.03287639
3.58E-04,0.03266152
3.59E-04,0.03248057
3.60E-04,0.03226577
3.60E-04,0.03208475
3.61E-04,0.03187002
3.62E-04,0.03168893
3.62E-04,0.03147427
3.63E-04,0.03129311
3.64E-04,0.03107851
3.65E-04,0.03089729
3.65E-04,0.03068276
3.66E-04,0.03050147
3.67E-04,0.030287
3.67E-04,0.03010566
3.68E-04,0.02989124
3.69E-04,0.02970985
3.69E-04,0.02949548
3.70E-04,0.02931404
3.71E-04,0.02909971
3.71E-04,0.02891825
3.72E-04,0.02870392
3.73E-04,0.02852248
3.73E-04,0.0283081
3.74E-04,0.0281267
3.75E-04,0.02791343
3.76E-04,0.02776453
3.76E-04,0.02759693
3.77E-04,0.02745825
3.78E-04,0.0272895
3.78E-04,0.02715124
3.79E-04,0.0269823
3.80E-04,0.02684413
3.80E-04,0.02667515
3.81E-04,0.02653698
3.82E-04,0.02636803
3.82E-04,0.02622983
3.83E-04,0.02606091
3.84E-04,0.02592266
3.85E-04,0.0257538
3.85E-04,0.02561549
3.86E-04,0.02544669
3.87E-04,0.02530832
3.87E-04,0.02513959
3.88E-04,0.02500115
3.89E-04,0.02483249
3.89E-04,0.02469397
3.90E-04,0.02452538
3.91E-04,0.0243868
3.91E-04,0.02421828
3.92E-04,0.02407962
3.93E-04,0.02391119
3.93E-04,0.02377243
3.94E-04,0.02360409
3.95E-04,0.02346525
3.96E-04,0.02329701
3.96E-04,0.02315805
3.97E-04,0.02298993
3.98E-04,0.02285084
3.98E-04,0.02268289
3.99E-04,0.02254356
4.00E-04,0.022376
4.00E-04,0.02223579
4.01E-04,0.0220747
4.02E-04,0.02196922
4.02E-04,0.02183635
4.03E-04,0.02173252
4.04E-04,0.02159964
4.05E-04,0.02149571
4.05E-04,0.02136293
4.06E-04,0.02125891
4.07E-04,0.02112622
4.07E-04,0.0210221
4.08E-04,0.02088951
4.09E-04,0.0207853
4.09E-04,0.0206528
4.10E-04,0.0205485
4.11E-04,0.02041608
4.11E-04,0.02031171
4.12E-04,0.02017936
4.13E-04,0.02007491
4.14E-04,0.01994265
4.14E-04,0.01983811
4.15E-04,0.01970593
4.16E-04,0.01960132
4.16E-04,0.01946921
4.17E-04,0.01936452
4.18E-04,0.01923249
4.18E-04,0.01912773
4.19E-04,0.01899578
4.20E-04,0.01889093
4.20E-04,0.01875906
4.21E-04,0.01865414
4.22E-04,0.01852234
4.22E-04,0.01841735
4.23E-04,0.01828561
4.24E-04,0.01818056
4.25E-04,0.01804888
4.25E-04,0.01794379
4.26E-04,0.01781212
4.27E-04,0.01770709
4.27E-04,0.0175751
4.28E-04,0.01747324
4.29E-04,0.01736671
4.29E-04,0.01728934
4.30E-04,0.01718557
4.31E-04,0.01710782
4.31E-04,0.01700422
4.32E-04,0.01692635
4.33E-04,0.01682285
4.34E-04,0.01674488
4.34E-04,0.01664147
4.35E-04,0.01656342
4.36E-04,0.0164601
4.36E-04,0.01638197
4.37E-04,0.01627872
4.38E-04,0.01620051
4.38E-04,0.01609734
4.39E-04,0.01601905
4.40E-04,0.01591596
4.40E-04,0.01583759
4.41E-04,0.01573458
4.42E-04,0.01565613
4.43E-04,0.01555321
4.43E-04,0.01547467
4.44E-04,0.01537183
4.45E-04,0.01529321
4.45E-04,0.01519046
4.46E-04,0.01511174
4.47E-04,0.01500908
4.47E-04,0.01493028
4.48E-04,0.01482771
4.49E-04,0.01474881
4.49E-04,0.01464634
4.50E-04,0.01456734
4.51E-04,0.01446498
4.51E-04,0.01438586
4.52E-04,0.01428363
4.53E-04,0.01420436
4.54E-04,0.01410232
4.54E-04,0.01402279
4.55E-04,0.01392114
4.56E-04,0.01384086
4.56E-04,0.01374871
4.57E-04,0.01369211
4.58E-04,0.01361097
4.58E-04,0.01355373
4.59E-04,0.01347295
4.60E-04,0.01341547
4.60E-04,0.01333487
4.61E-04,0.01327724
4.62E-04,0.01319678
4.63E-04,0.01313903
4.63E-04,0.01305867
4.64E-04,0.01300082
4.65E-04,0.01292057
4.65E-04,0.01286261
