g_ptsx,g_ptsy
2.65E-04,0.171469905
2.66E-04,0.170822305
2.66E-04,0.170212952
2.67E-04,0.169565559
2.68E-04,0.168956026
2.69E-04,0.168308792
2.69E-04,0.167699115
2.70E-04,0.167052014
2.71E-04,0.166442215
2.71E-04,0.165795227
2.72E-04,0.16518532
2.73E-04,0.164538436
2.73E-04,0.163928429
2.74E-04,0.163281642
2.75E-04,0.162671541
2.75E-04,0.162024846
2.76E-04,0.161414652
2.77E-04,0.160768053
2.78E-04,0.160157756
2.78E-04,0.15951128
2.79E-04,0.158900809
2.80E-04,0.158254653
2.80E-04,0.157643264
2.81E-04,0.157004918
2.82E-04,0.156471552
2.82E-04,0.155916965
2.83E-04,0.155395143
2.84E-04,0.154839187
2.84E-04,0.154317803
2.85E-04,0.153761674
2.86E-04,0.153240356
2.86E-04,0.152684213
2.87E-04,0.152162879
2.88E-04,0.151606769
2.89E-04,0.151085392
2.89E-04,0.150529334
2.90E-04,0.150007898
2.91E-04,0.149451903
2.91E-04,0.1489304
2.92E-04,0.148374476
2.93E-04,0.147852899
2.93E-04,0.147297052
2.94E-04,0.146775395
2.95E-04,0.146219631
2.95E-04,0.145697886
2.96E-04,0.145142217
2.97E-04,0.144620369
2.98E-04,0.144064812
2.98E-04,0.143542839
2.99E-04,0.142987429
3.00E-04,0.142465274
3.00E-04,0.141910106
3.01E-04,0.141387591
3.02E-04,0.140833065
3.02E-04,0.140308954
3.03E-04,0.139766575
3.04E-04,0.139316913
3.04E-04,0.138839133
3.05E-04,0.138394482
3.06E-04,0.13791633
3.07E-04,0.137471685
3.07E-04,0.136993602
3.08E-04,0.136548869
3.09E-04,0.136070877
3.09E-04,0.135626054
3.10E-04,0.135148152
3.11E-04,0.134703239
3.11E-04,0.134225426
3.12E-04,0.133780425
3.13E-04,0.1333027
3.13E-04,0.132857611
3.14E-04,0.132379974
3.15E-04,0.131934796
3.15E-04,0.131457249
3.16E-04,0.13101198
3.17E-04,0.130534526
3.18E-04,0.13008916
3.18E-04,0.129611806
3.19E-04,0.129166337
3.20E-04,0.128689093
3.20E-04,0.128243505
3.21E-04,0.12776639
3.22E-04,0.127320659
3.22E-04,0.126843708
3.23E-04,0.126397784
3.24E-04,0.125921068
3.24E-04,0.125474849
3.25E-04,0.12499846
3.26E-04,0.124553316
3.27E-04,0.124124723
3.27E-04,0.123748651
3.28E-04,0.123336613
3.29E-04,0.12295855
3.29E-04,0.122547358
3.30E-04,0.12216881
3.31E-04,0.121757944
3.31E-04,0.121379153
3.32E-04,0.120968481
3.33E-04,0.120589528
3.33E-04,0.120178997
3.34E-04,0.119799918
3.35E-04,0.119389503
3.36E-04,0.119010316
3.36E-04,0.118600002
3.37E-04,0.118220719
3.38E-04,0.117810497
3.38E-04,0.117431125
3.39E-04,0.11702099
3.40E-04,0.116641533
3.40E-04,0.116231481
3.41E-04,0.115851942
3.42E-04,0.115441971
3.42E-04,0.115062351
3.43E-04,0.114652462
3.44E-04,0.114272759
3.44E-04,0.113862956
3.45E-04,0.113483163
3.46E-04,0.113073456
3.47E-04,0.112693554
3.47E-04,0.112283981
3.48E-04,0.111903892
3.49E-04,0.111494643
3.49E-04,0.111113725
3.50E-04,0.110710874
3.51E-04,0.110381828
3.51E-04,0.11003038
3.52E-04,0.109707177
3.53E-04,0.109355099
3.53E-04,0.109032056
3.54E-04,0.108679944
3.55E-04,0.108356889
3.56E-04,0.108004809
3.56E-04,0.107681711
3.57E-04,0.107329681
3.58E-04,0.107006529
3.58E-04,0.106654555
3.59E-04,0.106331346
3.60E-04,0.105979429
3.60E-04,0.105656163
3.61E-04,0.105304303
3.62E-04,0.10498098
3.62E-04,0.104629177
3.63E-04,0.104305798
3.64E-04,0.10395405
3.65E-04,0.103630617
3.65E-04,0.103278921
3.66E-04,0.102955437
3.67E-04,0.102603791
3.67E-04,0.102280261
3.68E-04,0.101928657
3.69E-04,0.101605088
3.69E-04,0.101253517
3.70E-04,0.100929923
3.71E-04,0.100578368
3.71E-04,0.10025477
3.72E-04,0.099903201
3.73E-04,0.099579643
3.73E-04,0.099228003
3.74E-04,0.098904505
3.75E-04,0.098554072
3.76E-04,0.098266461
3.76E-04,0.09796639
3.77E-04,0.097690087
3.78E-04,0.097388726
3.78E-04,0.097112901
3.79E-04,0.096811316
3.80E-04,0.096535604
3.80E-04,0.096233964
3.81E-04,0.095958273
3.82E-04,0.095656634
3.82E-04,0.095380927
3.83E-04,0.095079315
3.84E-04,0.094803573
3.85E-04,0.094502001
3.85E-04,0.094226215
3.86E-04,0.093924691
3.87E-04,0.093648854
3.87E-04,0.093347384
3.88E-04,0.09307149
3.89E-04,0.09277008
3.89E-04,0.092494124
3.90E-04,0.092192777
3.91E-04,0.091916756
3.91E-04,0.091615476
3.92E-04,0.091339385
3.93E-04,0.091038179
3.93E-04,0.090762011
3.94E-04,0.090460885
3.95E-04,0.090184632
3.96E-04,0.089883598
3.96E-04,0.089607244
3.97E-04,0.089306326
3.98E-04,0.089029833
3.98E-04,0.088729092
3.99E-04,0.088452346
4.00E-04,0.088152036
4.00E-04,0.087874274
4.01E-04,0.087581625
4.02E-04,0.087345072
4.02E-04,0.087085868
4.03E-04,0.086851297
4.04E-04,0.086592048
4.05E-04,0.086357396
4.05E-04,0.086098243
4.06E-04,0.085863497
4.07E-04,0.085604434
4.07E-04,0.085369602
4.08E-04,0.085110621
4.09E-04,0.08487571
4.09E-04,0.084616806
4.10E-04,0.08438182
4.11E-04,0.084122989
4.11E-04,0.083887931
4.12E-04,0.083629171
4.13E-04,0.083394043
4.14E-04,0.083135352
4.14E-04,0.082900155
4.15E-04,0.082641533
4.16E-04,0.082406269
4.16E-04,0.082147713
4.17E-04,0.081912382
4.18E-04,0.081653893
4.18E-04,0.081418497
